adsorption,,diff_heat,,deform,
X,Y,X,Y,X,Y
0.006718995686960466,2.2980038773151783,0.004939886060386076,86.28125752792957,0.006903376231393671,2.622259471907384
0.004363558289182029,1.8166547737075085,0.01661228307830917,122.12437000028154,0.03487980449137207,-0.9744413199965507
0.00471087479555686,0.9626982072153396,0.014804015730048803,69.72090738730395,0.04274140276396146,-0.6020349816319008
0.00964908403164999,2.5482612072721764,0.02045229299936971,378.8611586629426,0.046347137474836875,0.015133119756869817
0.012667580214325846,2.7629659566675304,0.0260634520386806,65.91478618333579,0.057031182686207105,0.019080890128226002
0.022828166737182423,2.9626729478330613,0.06707483035761769,64.11027302334168,0.09620601512789784,0.03355604815653379
0.031302689492728436,3.126132725424199,0.13714049736737544,57.93025343899285,0.12315894736567268,0.588969741593365
0.06417777553249934,3.4770802680020463,0.16066987232631397,44.30818131477929,0.13562366677893795,0.5935754736932815
0.1181697051598603,3.9074685678561725,0.17351858166767292,41.57638365301284,0.15134164140563605,1.9718173059600375
0.1426586762820715,4.059403752281238,0.17385958710186045,50.0746144917924,0.20461304278578912,2.0442870906342314
0.17526853880788346,4.51700903654401,0.19022471945263925,100.11356419505509,0.2186051733546388,2.770864828029172
0.17633574770928973,4.802124314049898,0.1910819257734409,158.17333712923477,0.26341445583693,3.315281161145796
0.1821390907885348,8.89692277575352,0.22492280450377444,104.27758468040909,0.2948112407017215,4.822483492210203
0.1883971027488523,9.23745082314012,0.3129022065241534,96.8211410855235,0.32775893535526024,10.201226628651101
0.223577107421838,9.375777515360863,0.41936160028531827,63.66790450596443,0.38122876963767727,10.203388502902081
0.31474453292244736,9.856305689044374,0.5067465891635354,59.74665486183022,0.45438523659207175,10.177634000955612
0.4315502314390901,10.0265854998516,0.6483326711362363,59.787325234714956,0.4959464857794106,8.714985078367942
0.5058128153476007,10.162417828072014,0.7799075843988448,56.21020951499014,0.5512962107148547,8.682650959135877
0.6526961233163043,10.380058980657628,,,0.6847971676314163,8.749575066383638
0.8029957627386223,10.652418270111205,,,0.7433061532476417,9.492601846992567
,,,,0.8532301482241561,13.492163205840193